Pathway	0010_07-09-16	0354_01-10-17	0677_08-19-17	0904_07-10-17	0963_05-23-17	1203_01-23-17	1320_03-23-16	1593_09-12-17	1709_09-19-17	1894_04-24-18	1985_06-07-16	2045_08-21-17	2409_08-02-16	2651_11-22-16	3227_08-15-17	3315_06-07-16	3321_03-08-16	3329_11-01-16	3369_08-07-18	3545_12-13-16	3660_09-20-16	3836_02-27-17	3898_12-27-16	3899_06-13-18	3921_07-18-17	3955_08-25-17	4018_01-05-16	4100_01-03-17	4374_02-28-17	4471_01-03-17	4489_11-17-15	4546_04-26-16	4582_05-23-17	4657_08-23-16	4759_08-16-16	4913_03-07-17	4954_11-23-16	5160_07-19-16	5287_10-19-16	5338_08-04-17	5432_01-27-16	5600_07-10-17	5702_04-26-16	5890_09-27-16	5913_01-24-17	5975_07-18-17	6037_07-10-18	6070_08-30-17	6100_12-27-16	6673_12-07-16	6753_10-30-18	6995_03-15-16	7005_02-14-18	7551_11-02-16	7660_05-01-18	7768_08-15-17	7786_11-08-16	7953_05-15-18	8012_12-09-15	8118_02-09-16	8120_05-22-18	8158_04-12-16	8186_11-22-16	8344_05-02-17	8507_05-03-16	8633_04-19-16	9059_02-02-16	9120_02-09-16	9176_03-29-16	9190_03-14-18	9371_10-16-18	9591_03-14-17
PENTOSE-P-PWY: pentose phosphate pathway	0	240.488	167.49	48.1291	0	78.941	275.277	244.041	85.1658	0	71.6897	307.062	0	249.929	241.309	55.6013	0	59.6584	239.504	209.259	48.3158	176.184	169.025	56.3919	290.578	204.208	213.767	200.291	263.088	0	234.807	168.072	190.452	127.054	153.516	454.458	233.669	365.588	355.499	219.328	233.433	223.382	154.612	110.269	347.379	267.465	432.034	131.671	466.277	323.584	73.2815	376.133	284.362	361.457	581.702	242.668	0	160.115	0	383.482	138.973	307.28	285.058	325.336	315.136	302.849	252.388	368.441	0	316.893	110.964	348.013
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	0	363.578	595.066	818.953	210.674	278.338	416.684	435.193	433.932	0	520.795	459.215	0	474.757	463.902	520.924	231.973	615.934	447.659	546.566	354.973	478.808	633.448	398.108	465.912	508.444	507.932	422.611	325.185	423.587	316.861	558.766	517.485	168.276	662.854	403.854	410.28	413.602	368.484	705.385	427.793	461.092	556.534	157.074	453.917	467.467	466.636	217.632	478.032	490.988	473.832	417.3	357.165	413.548	565.5	499.211	0	753.653	313.103	517.071	546.568	670.686	378.171	394.184	312.629	454.479	430.038	470.914	0	457.306	454.097	744.837
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	0	5.37621	220.712	0	0	231.601	143.313	198.062	11.8352	0	0	168.409	0	234.781	234.763	0	0	0	80.0461	14.7498	58.3206	45.354	88.8028	153.391	84.569	74.6484	193.381	244.35	296.274	0	280.396	119.022	120.87	0	53.9922	329.554	91.065	375.405	0	0	146.819	188.958	253.872	89.0345	147.881	223.782	13.2757	206.683	0	40.8926	0	132.129	141.96	247.567	0	30.3671	0	0	0	32.712	14.8854	13.2257	318.043	19.2775	72.2867	110.205	363.471	240.88	0	56.2054	173.839	117.455
PHOSLIPSYN2-PWY: superpathway of phospholipid biosynthesis II (plants)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.4797
PHOTOALL-PWY: oxygenic photosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.4217	0	0	1.65537	0	4.60805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.46412	0	0	0	0	0	0	4.33736	0	0	0	0.318045	0	0	0	0	0	0	0	0	0	15.9183	0	0	0	0	0	0	0	0	0	0
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	0	0	0	0	0	0	0	0	0	0	0	0	0	24.0779	0	0	0	0	0	0	0	10.3617	0	0	0	0	0	0	0	0	0	0	0	0	0	30.1273	0	10.0784	0	0	9.57316	0	66.0958	0	0	77.7498	0	6.75338	0	0	0	27.6431	0	0	0	0	0	0	0	0	0	0	12.5354	0	0	0	36.8876	0	0	0	0	17.202
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I	0	0	100.962	0	0	0	62.758	2.28049	0	0	0	35.6272	0	63.4407	31.6607	0	0	0	0	0	0	10.5639	13.9608	0	2.92933	0	33.2891	67.7722	133.466	0	155.103	52.452	0	0	0	365.147	0	211.013	0	0	27.0278	12.206	88.2145	8.06431	56.14	100.341	0	0	0	5.05507	0	6.52618	67.8727	0	0	0	0	0	0	4.4067	3.6206	0	124.621	0	0	0	189.78	8.02416	0	2.0025	0	23.2039
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	0	0	3.90601	0	0	138.634	27.027	80.9775	178.116	0	10.2193	107.658	0	110.66	83.6553	90.6301	46.6231	0	0	9.39243	0	154.603	0.644469	103.949	52.045	11.4984	241.939	82.8208	112.01	0	121.179	145.117	91.771	0	148.871	205.858	95.1794	161.421	0	0	57.769	100.891	20.58	26.0096	148.374	91.5579	7.39814	17.0821	0	50.3682	43.5453	25.4174	81.3045	134.8	0	5.32075	0	0	0	4.43482	148.35	44.6315	92.8454	0	16.6717	111.93	150.404	9.34682	0	97.1898	116.532	142.403
PPGPPMET-PWY: ppGpp metabolism	0	0	4.58091	0	0	0	5.57643	0	0	0	84.8671	0	0	17.6438	1.64514	0	162.482	0	0	0	0	0	52.3263	0	0	0.756788	1.88544	9.16169	16.3553	0	30.1598	151.238	0	0	0	151.92	2.33926	49.3263	0	4.22408	52.0948	6.4103	0.96846	4.11021	35.3843	121.113	9.8186	4.50919	0	0	0	37.9218	33.0794	0	0	0	0	0	0	4.82925	10.504	8.33322	14.742	0	0	0	38.9253	2.31713	0	0	0	29.3229
PROPFERM-PWY: superpathway of L-alanine fermentation (Stickland reaction)	0	0	5.43281	0	0	0	1.89169	0	0	0	0	3.86869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.43283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.90042	0	0	0	4.43218	0	0	0	0	0
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)	0	0	0	0	0	33.3995	0	0	0	0	0	0	0	3.55349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225.164	0	0	0	0	0	2.00216	0	0	11.2178	4.06588	0	0	0	0	0	0	39.6368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis"	0	0	0	0	0	0	12.4651	0	0	0	0	0	0	31.3115	0	0	0	0	0	0	13.7808	0	0	0	0	0	0	16.5801	30.4166	0	30.7461	0	0	0	0	210.707	0	116.779	0	0	0	0	46.9606	0	116.857	22.3398	0	0	0	0	0	0	43.3851	0	0	0	0	0	0	0	0	0	42.744	0	0	0	0	0	0	0	0	0
PWY-101: photosynthesis light reactions	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.4938	32.691	0	0	5.38487	0	21.8777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.2785	0	0	7.25602	0	0	0	13.538	0	0	0	0.212109	0	0	3.76886	0	0	0	0	0	0	63.9685	0	0	0	0	0	0	0	0	0	2.13898
PWY-1042: glycolysis IV	218.934	182.694	827.957	842.117	434.992	428.022	650.418	527.829	582.901	0	642.03	545.599	0	431.187	580.372	780.659	327.969	895.933	327.959	5.40795	233.791	453.787	427.121	537.194	599.464	547.584	685.49	471.47	410.407	0	417.664	603.511	618.305	323.729	660.259	948.464	754.061	551.662	0	599.45	360.985	449.276	732.14	243.379	600.113	601.21	56.5514	299.586	28.9957	702.259	612.031	514.516	478.11	586.273	356.056	609.329	0	695.412	106.384	58.9179	770.124	730.764	423.84	526.616	534.961	566.806	551.456	693.669	0	603.433	570.465	587.038
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis	0	0	0	0	150.808	66.3809	150.494	177.209	182.875	0	1.47455	85.4724	0	174.979	151.723	65.0178	0	0	199.269	545.863	0	280.232	2.88271	144.289	70.8193	168.102	190.608	165.512	254.403	0	260.703	101.241	144.789	0	79.8594	265.115	0	239.21	417.737	18.9676	73.9006	210.512	56.9509	5.53265	105.539	73.2216	11.0541	19.0159	0	33.2607	0	0	206.409	159.638	0	13.4111	0	8.95906	0	470.89	191.995	6.45237	278.587	94.2437	0	193.755	165.105	251.907	0	201.449	117.791	43.2056
PWY-1501: mandelate degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.58068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1541: superpathway of taurine degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111.406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.2976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-1622: formaldehyde assimilation I (serine pathway)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.81714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.49201
PWY-181: photorespiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332.474	0	0	0	11.9272	0	0	0	0	0	0	0	0	0	0	85.425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.18318
PWY-1861: formaldehyde assimilation II (assimilatory RuMP Cycle)	0	170.799	0	0	0	0	25.3818	0	0	0	71.3089	41.4995	0	17.9777	13.4565	0	256.539	639.271	0	0	5.62071	0	0	41.8761	31.6033	0	24.1291	39.8147	77.5522	514.646	196.015	16.5975	0	0	120.136	112.466	204.556	0	0	19.9018	11.0207	31.139	33.6989	0	44.1428	9.2205	16.3369	8.65273	0	20.1563	387.307	240.759	89.9033	40.5946	263.976	38.0152	0	71.4305	83.1824	0	0	0	66.5803	0	0	39.6984	46.5002	137.062	0	0	7.21406	5.68062
PWY-2201: folate transformations I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81.2233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.7396
"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type"	0	0	0	0	0	77.2889	57.0618	0	0	0	0	17.878	0	81.8416	12.1632	0	0	0	5.72869	0	16.2159	0	85.5152	0	3.06265	0	29.4602	65.165	119.246	0	135.711	96.502	2.99504	0	0	87.6877	0	200.869	0	0	171.986	7.84082	51.5025	19.8168	64.1821	66.4448	0	44.5919	0	0	11.6954	61.1773	104.572	60.6262	4.19385	3.49814	0	0	0	0	0	154.52	121.365	5.13029	0	0	194.069	0	0	0	2.675	88.0584
PWY-2723: trehalose degradation V	0	0	0	0	0	64.941	20.5651	0	0	0	0	5.95475	0	35.2554	8.32267	0	0	0	126.75	0	47.2873	0	78.9785	0	0	67.2156	31.9066	45.857	61.5427	0	95.659	6.57265	0	0	0	246.7	52.675	114.61	0	1.93369	79.0413	179.261	16.7882	29.8443	115.283	4.44458	11.4879	14.2963	0	0	101.71	76.272	126.864	84.4386	0	93.2433	0	0	0	0	0	171.829	103.856	0	0	0	58.1459	38.7558	0	3.89666	0	143.347
PWY-2941: L-lysine biosynthesis II	0	331.546	237.836	203.31	0	0	97.8519	90.0046	159.69	0	662.222	192.126	0	201.572	146.233	97.0564	180.182	0	374.034	285.208	170.844	308.116	253.146	121.92	103.316	74.6949	282.759	155.694	198.934	448.445	101.094	331.099	156.961	0	229.007	184.456	391.139	315.361	0	73.6378	313.662	188.33	53.4548	31.8526	85.9446	263.987	39.6364	48.7414	14.2754	153.897	229.86	321.735	168.444	354.553	622.871	124.013	0	202.088	322.274	48.6756	124.463	568.479	279.114	400.697	171.457	294.984	44.0802	296.337	0	242.878	191.44	332.543
PWY-2942: L-lysine biosynthesis III	0	325.173	499.79	727.116	299.579	295.493	452.981	520.998	471.819	0	636.283	469.714	0	503.88	507.881	603.91	231.365	674.499	491.214	512.936	322.395	499.97	333.079	429.961	526.037	582.908	552.272	395.854	335.853	453.177	328.04	514.729	521.086	201.436	758.184	399.08	410.165	381.002	374.064	736.325	391.703	494.843	497.071	98.842	517.37	440.177	599.598	112.885	651.606	559.29	428.673	352.115	395.432	451.398	578.215	619.057	0	648.708	319.063	570.832	490.082	587.21	371.482	412.382	450.016	469.558	373.562	541.418	0	504.532	397.674	415.607
PWY-3001: superpathway of L-isoleucine biosynthesis I	0	281.379	304.104	177.108	291.621	217.103	358.723	415.771	320.381	0	29.8679	332.984	0	502.322	429.937	281.131	252.285	637.648	368.755	9.5779	133.813	407.232	441.072	250.184	404.548	468.403	441.005	408.668	360.847	0	350.246	395.317	341.106	246.331	672.102	437.665	227.622	476.79	0	761.974	315.572	407.465	303.307	178.622	431.447	338.17	140.674	251.092	0	430.431	471.269	374.035	344.232	409.722	343.193	429.076	0	701.88	0	43.7375	305.325	668.932	430.139	408.763	114.932	318.831	328.847	439.406	0	371.531	283.198	469.063
PWY-3502: superpathway of NAD biosynthesis in eukaryotes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.5981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.366
PWY-3781: aerobic respiration I (cytochrome c)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.3031	0	0	31.559	0	13.0742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.1191	0	0	197.852	0	0	4.41534	59.9707	0	0	0	135.098	0	0	0	0	0	0	0	0	0	75.4587	0	0	17.0246	0	0	0	0	0	0	98.7973
PWY-3841: folate transformations II (plants)	148.225	343.464	539.697	791.272	306.935	294.046	487.58	502.145	446.905	0	508.05	519.597	0	500.653	495.562	616.34	239.997	640.116	435.569	555.842	336.126	532.364	629.122	429.602	511.895	543.495	519.941	448.305	398.615	538.883	336.771	517.084	517.06	154.251	681.955	405.684	484.757	392.973	405.956	721.291	414.229	475.267	570.903	195.933	459.878	478.036	453.217	275.817	513.31	573.532	445.703	460.087	369.63	462.815	568.612	494.088	0	858.468	359.433	591.864	530.511	726.349	408.605	449.844	314.35	490.318	372.935	511.901	0	483.517	455.227	609.107
PWY-4041: &gamma;-glutamyl cycle	0	0	11.0305	0	0	98.9256	53.6695	0	16.3692	0	3.2771	8.57567	0	74.031	27.1446	5.86938	18.7188	0	46.5	0	86.6443	8.36096	130.237	151.757	0	60.1709	50.6557	140.359	155.228	0	200.207	124.229	52.571	0	209.214	358.807	0	329.499	0	0	95.9447	31.6705	17.9111	13.8686	167.964	139.955	33.5573	15.5187	0	5.62659	0	1.47528	99.7663	72.1443	1.76362	0	0	0	0	9.68504	79.9869	20.9263	204.585	10.9037	0	185.228	183.564	3.80348	0	111.352	1.85101	6.0588
PWY-4242	0	367.992	498.054	644.534	201.024	153.54	376.919	430.561	391.949	0	493.019	397.309	0	429.448	416.671	489.64	203.056	594.701	342.549	363.746	332.576	433.729	571.91	362.411	413.209	451.205	426.381	378.624	291.469	0	219.679	512.097	466.585	217.891	674.326	232.592	473.967	291.642	329.765	693.196	368.669	407.729	476.9	118.943	362.598	415.07	328.464	189.304	333.783	458.671	500.791	403.724	280.051	360.934	559.019	320.342	0	759.996	0	436.623	443.073	531.309	335.947	341.229	284.13	386.97	326.925	462.575	0	432.187	394.938	622.935
PWY-4321: L-glutamate degradation IV	0	0	0	0	0	0	5.16646	0	0	0	0	0	0	0.943133	3.19281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.4646	0	0	62.0241	0	0	0	0	0	0	27.8326	0	0	0	0	24.2418	0	0	0	0	0	0	0	0	4.05818	0	0	0	0	33.7714	0	0	0	0	0
PWY-4361: S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.62706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4702: phytate degradation I	0	0	0	0	0	0	20.7147	0	0	0	0	0	0	16.6307	11.0727	0	0	0	0	0	0	0	77.4812	0	0	0	0	72.3566	104.234	0	166.756	0	0	0	0	0	0	96.4844	0	0	12.1688	0	8.86431	0	0	0	0	15.1931	0	0.626955	28.6661	9.82735	0	0	3.03963	0	0	0	0	0	0	0	86.1308	0	0	0	136.298	0	0	0	0	49.4384
PWY-4722: creatinine degradation II	0	0	1.80448	0	0	0	0	0	0	0	0	0	0	1.78046	4.493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.74196	0	17.4386	0	5.50045	10.6869	0	0	0	0	0	0	0	2.2423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-4762: superpathway of choline biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.54789
PWY-4981: L-proline biosynthesis II (from arginine)	0	544.101	44.1175	0	0	0	47.1415	14.7425	0	0	50.0887	18.9299	0	17.2359	76.9465	0	411.23	564.026	16.9361	0	70.5852	3.13547	245.274	24.612	38.0048	28.1843	0	98.4602	2.62391	377.699	26.3074	256.691	61.6286	302.818	44.6198	78.9295	177.938	6.03472	0	201.493	318.288	13.1442	108.193	3.7134	76.9895	73.6222	0	176.009	0	73.7915	433.794	226.297	4.83652	10.0946	773.781	34.0433	0	201.948	331.323	8.62156	0	95.9945	19.1146	9.06177	87.1709	37.5192	94.8032	8.84141	0	47.7988	0	387.41
PWY-4984: urea cycle	0	0	136.611	0	0	74.087	211.444	98.0238	12.6147	0	26.9206	169.103	0	154.354	244.831	18.5467	0	0	343.101	0	22.5299	120.056	17.8047	34.3268	239.575	202.81	141.673	170.682	166.85	0	70.5268	308.853	125.128	0	81.3733	122.777	184.701	40.5405	0	314.102	29.0932	44.5083	0	7.63424	205.987	194.255	19.4478	112.588	0	211.372	32.6305	63.1103	98.3562	150.984	6.5148	354.941	0	0	0	0	172.593	35.1917	34.6434	9.39665	0	126.049	29.9195	160.621	0	122.763	83.8592	38.0172
PWY-5005: biotin biosynthesis II	0	61.5885	48.675	0	0	0	2.68061	0	0	0	0	57.8723	0	9.45797	11.6262	0	138.1	18.172	0	0	0	0	19.1045	4.03557	0	0	0	0	27.5525	0	6.74288	64.7807	43.3462	197.079	32.0227	75.5069	99.5454	0	0	0	24.4591	51.9771	20.7721	0	48.7938	42.9991	0	47.0409	0	0	289.711	81.1492	18.3105	0	62.4111	0	0	579.327	0	5.7567	8.41888	3.98745	0	6.32112	0	0	0	0	0	0	7.91352	118.059
PWY-5022: 4-aminobutanoate degradation V	0	0	51.5147	0	0	0	53.1548	116.815	0	0	0	12.9364	0	58.0175	48.1309	0	0	0	3.09285	0	0	3.56096	0	3.6073	63.7736	29.7892	28.269	51.5157	75.927	0	77.5372	20.0246	19.0412	0	0	82.7069	0	192.901	0	83.169	33.7457	14.0902	0	0	58.9938	58.0023	0	0	0	76.5997	0	61.5328	115.536	37.3003	0	55.5171	0	0	0	0	0	3.38366	88.0782	0	0	10.8078	113.135	38.9686	0	39.7984	0	0
PWY-5028: L-histidine degradation II	0	0	0	0	0	0	0	0	0	0	2.40057	0	0	0	0	0	0	0	0	3.87632	0	0	0	5.82069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.05635	0	0	0	0	4.57491	0	0	0	0	0	2.56665	0	0	0	0	0	0	0	16.5422	7.90588	0	0	0	0	0	0	0	0	0	0	8.98472
PWY-5030: L-histidine degradation III	0	0	0	0	141.043	230.139	207.627	322.474	431.187	0	2.40131	228.404	0	315.496	285.343	499.138	0	0	232.112	535.102	159.689	364.995	74.4835	340.782	270.257	311.186	411.847	253.27	137.885	0	118.405	66.3749	181.375	0	473.538	12.6662	0	209.625	363.936	478.55	46.4574	241.833	0	10.3077	189.434	138.066	0	3.65655	0	286.632	0	2.96457	208.547	285.923	1.93118	178.231	0	0	0	563.647	482.923	11.7459	221.913	114.962	0	333.67	79.5265	187.769	0	301.814	309.922	26.4116
PWY-5044: purine nucleotides degradation I (plants)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.64035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.0138
PWY-5067: glycogen biosynthesis II (from UDP-D-Glucose)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.5448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.5924
PWY-5079: L-phenylalanine degradation III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.0968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.6099
PWY-5080: very long chain fatty acid biosynthesis I	234.673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.5842	0	0	0	0	0	0	61.0392	0	0	9.76999	109.089	0	0	0	14.078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.32383
PWY-5083: NAD(P)/NADPH interconversion	0	0	0	0	0	0	4.34659	0	0	0	0	0	0	19.7384	5.44349	0	0	0	0	0	0	0	3.54516	0	0	0	0	27.8838	51.3935	0	55.2598	0	0	0	0	177.394	0	103.78	0	0	12.3333	11.2806	1.67152	9.38291	45.6837	2.85907	0	0	0	0	0	33.9468	36.6559	0	0	0	0	0	0	0	0	7.98637	51.7914	0	0	0	67.4984	0	0	0	0	24.7523
PWY-5088: L-glutamate degradation VIII (to propanoate)	0	0	0	0	0	0	2.01752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3171	0	0	31.6521	11.6589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI	0	324.294	576.549	779.855	295.96	295.111	422.474	490.321	447.282	0	630.001	478.227	0	490.115	491.385	587.763	121.496	79.5413	457.159	468.032	298.119	477.262	325.326	410.909	476.358	522.329	525.251	342.182	333.559	440.034	320.523	530.864	524.428	0	734.568	382.998	379.404	390.433	375.336	753.163	341.323	443.559	550.028	95.7827	463.692	454.647	545.343	94.8394	612.936	530.141	219.04	335.205	361.211	450.105	588.669	530.066	0	665.135	315.954	509.326	324.305	396.882	371.072	403.672	452.604	468.818	389.024	488.447	0	457.857	404.741	354.152
PWY-5100: pyruvate fermentation to acetate and lactate II	0	197.225	443.024	0	0	60.1352	76.107	73.9213	0	0	644.425	189.77	0	120.709	147.762	9.18333	313.006	703.142	63.1546	3.16274	72.2618	25.8297	552.639	20.1497	92.1741	33.8453	116.663	76.6287	79.1015	0	120.619	469.306	92.8199	309.762	121.281	482.067	598.399	86.5904	0	213.942	435.984	102.713	275.641	156.024	149.41	321.278	25.4231	90.5765	11.2239	207.25	556.411	593.257	87.8881	286.144	370.992	106.219	0	441.656	0	0	42.3278	696.496	116.63	84.989	71.8923	55.1409	256.558	221.499	0	56.8479	34.4678	511.265
PWY-5101: L-isoleucine biosynthesis II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.049	0	0	0	2.17623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.90498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III	0	246.609	514.39	133.399	294.616	211.567	338.002	397.113	252.783	0	16.3897	312.031	0	498.006	411.553	187.12	255.302	710.128	493.981	551.591	253.531	469.382	373.36	193.187	428.738	467.143	378.535	393.292	375.251	0	437.459	461.613	309.867	225.061	598.67	428.395	173.427	550.295	385.363	763.636	294.436	528.54	629.65	170.003	449.607	472.108	503.93	255.193	510.713	366.395	511.166	371.21	376.673	399.268	145.979	564.292	0	816.994	52.3377	615.659	226.61	710.046	514.75	447.221	244.242	274.725	399.685	536.103	0	384.781	212.786	378.47
PWY-5104: L-isoleucine biosynthesis IV	0	0	20.3457	0	0	197.165	196.821	192.119	244.377	0	6.43004	248.196	0	196.536	245.11	183.321	0	0	153.121	224.968	244.238	267.039	0	179.663	260.31	307.312	330.331	228.274	102.538	0	194.823	189.772	213.404	0	407.992	49.5958	2.59849	55.7728	0	116.183	22.6045	129.229	121.483	16.0191	327.309	52.5267	472.891	0	541.837	269.741	37.6211	1.07486	109.555	213.854	0	304.003	0	0	0	0	217.265	6.86675	77.8849	4.20635	46.0403	230.007	178.324	178.334	0	251.653	192.974	9.04789
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	0	0	5.45781	0	0	189.152	92.7607	187.487	367.112	0	21.0005	195.342	0	183.736	248.04	457.841	0	0	0	12.9012	0	244.386	127.485	339.537	124.867	308.028	393.221	134.078	47.1092	0	142.398	335.393	167.694	0	388.441	218.216	0	173.895	0	0	199.973	164.167	38.6325	81.4207	237.252	248.41	11.726	77.0064	0	286.072	61.6475	151.935	125.623	233.41	0	264.444	0	329.727	0	16.9133	275.658	143.014	34.9173	0	33.5917	197.47	2.66683	161.201	0	198.146	374.109	290.263
PWY-5129: sphingolipid biosynthesis (plants)	194.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.4714	0	0	0	1.04274	0	0	0	0	0	0	0	0	0	0	31.277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.2031
PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40731	0	0	12.1529	0	0	0	12.6201	0	0	0	4.19051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0192
